season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,4,"00:00:40,707","00:00:42,707",2.00,1,"My lady, you must stay strong."
1,4,"00:00:42,792","00:00:44,542",1.75,2,You must stay awake.
1,4,"00:00:44,627","00:00:45,837",1.21,3,Please stay strong.
1,4,"00:00:56,306","00:00:58,266",1.96,4,I SHALL MAKE DO-HWA MINE
1,4,"00:00:56,306","00:00:58,266",1.96,5,"IF SHE BEARS A CHILD, KNOW THAT IT IS MINE"
1,4,"00:00:58,349","00:01:04,272",5.92,6,"Thanks to you, the past seven days have been wonderful."
1,4,"00:01:09,235","00:01:13,990",4.75,7,Do-hwa will be giving birth to my son soon.
1,4,"00:01:16,409","00:01:17,539",1.13,8,Your Majesty.
1,4,"00:01:18,244","00:01:22,044",3.80,9,Do you remember the divination I received on the day of my coronation?
1,4,"00:01:22,624","00:01:29,960",7.34,10,You said I would be granted a son who had the energy of the King's Star.
1,4,"00:01:30,548","00:01:34,218",3.67,11,The divination was incorrect.
1,4,"00:01:30,548","00:01:34,218",3.67,12,That cannot be.
1,4,"00:01:36,679","00:01:37,889",1.21,13,No.
1,4,"00:01:39,432","00:01:42,062",2.63,14,What you said has to be true.
1,4,"00:01:43,061","00:01:46,191",3.13,15,I will have a son thanks to your alchemy of souls.
1,4,"00:01:47,982","00:01:49,692",1.71,16,Remember that.
1,4,"00:01:50,902","00:01:56,157",5.25,17,Do-hwa will bear my son.
1,4,"00:01:59,202","00:02:00,542",1.34,18,He will be mine.
1,4,"00:02:59,012","00:03:07,354",8.34,19,The star at the center of the Big Dipper that contains nature's secrets only reveals itself when the sky is filled with the energy of the Daeho waters.
1,4,"00:03:15,361","00:03:18,201",2.84,20,And my son will be born when that star appears.
1,4,"00:03:28,583","00:03:31,963",3.38,21,"From this moment forward, I hereby banish Jang Uk from Songrim."
1,4,"00:03:33,296","00:03:34,626",1.33,22,There is one more left.
1,4,"00:03:34,714","00:03:36,094",1.38,23,"As for the last one, you should do it yourself."
1,4,"00:03:51,981","00:03:53,071",1.09,24,Mu-deok.
1,4,"00:03:54,317","00:03:57,697",3.38,25,Is Young Master still not talking?
1,4,"00:03:58,738","00:04:02,698",3.96,26,"No. His back was flogged, but it seems his mouth was as well."
1,4,"00:04:02,784","00:04:05,204",2.42,27,He cries in pain even when he bumps his fingers into something.
1,4,"00:04:05,286","00:04:07,956",2.67,28,But he is being silent after being flogged 100 times.
1,4,"00:04:08,039","00:04:09,119",1.08,29,I am truly worried.
1,4,"00:04:09,207","00:04:12,287",3.08,30,"He is a crybaby, so I am guessing it is still bearable for him."
1,4,"00:04:13,711","00:04:17,761",4.05,31,His back is not what is paining him.
1,4,"00:04:13,711","00:04:17,761",4.05,32,It is his heart.
1,4,"00:04:18,883","00:04:22,803",3.92,33,He was cast away by the man he considered a father figure.
1,4,"00:04:22,887","00:04:24,427",1.54,34,Imagine how he feels.
1,4,"00:04:25,765","00:04:27,555",1.79,35,He must think he was abandoned.
1,4,"00:04:51,582","00:04:53,462",1.88,36,You should be happy you got flogged.
1,4,"00:04:54,168","00:04:57,338",3.17,37,They will not be able to retrieve the torrent of energy right away.
1,4,"00:04:57,422","00:04:59,342",1.92,38,You will have more time to train.
1,4,"00:05:10,351","00:05:11,481",1.13,39,Young Master.
1,4,"00:05:12,312","00:05:13,312",1.00,40,Are you all right?
1,4,"00:05:33,624","00:05:35,754",2.13,41,"Mu-deok, look at this."
1,4,"00:05:35,835","00:05:38,125",2.29,42,I think I used my energy to make these ripples.
1,4,"00:05:42,967","00:05:44,387",1.42,43,The water is just rippling.
1,4,"00:05:46,095","00:05:48,885",2.79,44,Why is it not working? I have been practicing my breathing technique.
1,4,"00:05:48,973","00:05:51,313",2.34,45,Is that what you have been doing in silence?
1,4,"00:05:51,392","00:05:54,602",3.21,46,I thought you were wallowing in sadness for being abandoned.
1,4,"00:05:54,687","00:05:57,267",2.58,47,I was wrong.
1,4,"00:05:54,687","00:05:57,267",2.58,48,Wallowing in sadness?
1,4,"00:05:57,356","00:05:59,356",2.00,49,I was abandoned from the moment I was born.
1,4,"00:05:59,442","00:06:01,692",2.25,50,And this is not my first time getting kicked out.
1,4,"00:06:01,778","00:06:03,238",1.46,51,It does not faze me.
1,4,"00:06:09,035","00:06:10,535",1.50,52,Just wait and see.
1,4,"00:06:10,620","00:06:14,040",3.42,53,I will make them beg me to come back to Songrim.
1,4,"00:06:15,458","00:06:17,128",1.67,54,I guess being stupid can be helpful at times.
1,4,"00:06:17,710","00:06:18,710",1.00,55,I am acting with vigor.
1,4,"00:06:22,340","00:06:25,090",2.75,56,"By the way, why is it so hot in here?"
1,4,"00:06:25,718","00:06:27,598",1.88,57,Hot? I am cold.
1,4,"00:06:30,348","00:06:32,138",1.79,58,Why did the water become so hot?
1,4,"00:06:34,477","00:06:35,977",1.50,59,Why are you burning up?
1,4,"00:06:36,938","00:06:40,688",3.75,60,I feel strange.
1,4,"00:06:36,938","00:06:40,688",3.75,61,I think my body is getting hotter.
1,4,"00:06:40,775","00:06:42,105",1.33,62,It is the energy.
1,4,"00:06:43,236","00:06:44,446",1.21,63,But this soon?
1,4,"00:06:47,323","00:06:48,913",1.59,64,It was the flogging.
1,4,"00:06:48,991","00:06:51,161",2.17,65,It caused the torrent of energy to surge faster.
1,4,"00:06:51,911","00:06:53,581",1.67,66,I am glad you got flogged.
1,4,"00:06:56,499","00:06:58,249",1.75,67,"Mu-deok, I am burning up."
1,4,"00:06:58,334","00:07:01,674",3.34,68,You will burn up once the torrent of energy transforms into heat.
1,4,"00:07:01,754","00:07:03,884",2.13,69,Then you will feel chilly when it becomes cold.
1,4,"00:07:03,965","00:07:06,585",2.62,70,That energy will be yours only if you can bear that.
1,4,"00:07:07,760","00:07:10,560",2.80,71,Keep breathing slowly.
1,4,"00:07:18,396","00:07:19,806",1.41,72,This is cold water.
1,4,"00:07:33,494","00:07:34,624",1.13,73,Mu-deok.
1,4,"00:07:35,371","00:07:37,041",1.67,74,Is Young Master still bathing?
1,4,"00:07:37,123","00:07:39,083",1.96,75,It has been almost an hour.
1,4,"00:07:39,750","00:07:43,880",4.13,76,"If she finds out, she will tell Songrim."
1,4,"00:07:39,750","00:07:43,880",4.13,77,Then we will lose the torrent of energy.
1,4,"00:07:43,963","00:07:44,843",0.88,78,Medicinal herbs.
1,4,"00:07:46,382","00:07:48,632",2.25,79,He is bathing in medicinal herbs.
1,4,"00:07:49,218","00:07:53,852",4.63,80,I have dissolved some medicinal herbs and let him bathe in them to treat his wounds.
1,4,"00:07:55,099","00:07:55,929",0.83,81,Is that so?
1,4,"00:07:57,310","00:07:58,560",1.25,82,Good thinking.
1,4,"00:08:01,647","00:08:02,727",1.08,83,Hold on.
1,4,"00:08:09,906","00:08:11,736",1.83,84,Then why is the water cold?
1,4,"00:08:11,824","00:08:13,034",1.21,85,Sorry?
1,4,"00:08:13,117","00:08:16,077",2.96,86,The water must have cooled down in the past hour.
1,4,"00:08:16,162","00:08:18,082",1.92,87,So why are you not bringing him hot water?
1,4,"00:08:20,791","00:08:22,251",1.46,88,Is he running a fever?
1,4,"00:08:24,086","00:08:25,246",1.16,89,Young Master.
1,4,"00:08:30,468","00:08:31,468",1.00,90,That is so cold.
1,4,"00:08:32,178","00:08:33,758",1.58,91,How could you let this happen?
1,4,"00:08:33,846","00:08:35,306",1.46,92,What if he catches a cold?
1,4,"00:08:42,146","00:08:45,066",2.92,93,The boiling hot water became ice-cold.
1,4,"00:08:45,149","00:08:46,229",1.08,94,Young Master.
1,4,"00:08:47,777","00:08:49,067",1.29,95,Where did he go?
1,4,"00:08:49,946","00:08:50,856",0.91,96,Goodness.
1,4,"00:08:54,825","00:08:57,285",2.46,97,"Young Master, are you all right?"
1,4,"00:08:57,995","00:08:59,205",1.21,98,Yes.
1,4,"00:08:59,288","00:09:02,538",3.25,99,Bathing in medicinal herbs has made me relaxed but drowsy.
1,4,"00:09:05,336","00:09:07,876",2.54,100,"Come on, now. Go on and make his bed."
1,4,"00:09:09,173","00:09:12,473",3.30,101,It is the cold. His body is freezing now.
1,4,"00:09:18,683","00:09:21,773",3.09,102,I am freezing.
1,4,"00:09:18,683","00:09:21,773",3.09,103,I think I am covered in ice.
1,4,"00:09:22,687","00:09:26,397",3.71,104,It is the cold. Your energy is surging faster than I thought.
1,4,"00:09:27,650","00:09:28,820",1.17,105,Keep breathing.
1,4,"00:09:54,510","00:09:55,970",1.46,106,I am freezing. I think I might faint.
1,4,"00:09:58,180","00:10:00,270",2.09,107,Fight it. You must.
1,4,"00:10:02,643","00:10:05,193",2.55,108,Jang Uk! Stay alert.
1,4,"00:10:05,271","00:10:07,061",1.79,109,You could freeze to death if you fall asleep now.
1,4,"00:10:07,148","00:10:08,268",1.12,110,Get up.
1,4,"00:10:10,818","00:10:12,068",1.25,111,Keep breathing.
1,4,"00:10:23,039","00:10:26,539",3.50,112,"Uncle, Yul and I are the only friends Uk has."
1,4,"00:10:26,626","00:10:29,126",2.50,113,He has nowhere but Songrim to call home.
1,4,"00:10:29,211","00:10:32,011",2.80,114,Please let him return to Songrim.
1,4,"00:10:32,089","00:10:33,799",1.71,115,He will not be able to train anyway.
1,4,"00:10:34,300","00:10:38,352",4.05,116,No one will take him in once they find out he has been ousted from Songrim.
1,4,"00:10:39,889","00:10:41,769",1.88,117,Stop talking about Uk.
1,4,"00:10:41,849","00:10:45,099",3.25,118,I want you to focus on the soul shifter case from now on.
1,4,"00:10:53,944","00:10:56,244",2.30,119,He has completely hardened like stone.
1,4,"00:10:57,531","00:10:58,911",1.38,120,He has been petrified.
1,4,"00:11:02,370","00:11:07,001",4.63,121,A soul shifter who has run wild replaces their lost energy by absorbing that of a human.
1,4,"00:11:09,251","00:11:11,301",2.05,122,He is no different from an evil spirit.
1,4,"00:11:11,379","00:11:14,009",2.63,123,I can see why you forbid this sorcery.
1,4,"00:11:14,090","00:11:16,970",2.88,124,The alchemy of souls was not a type of sorcery from the start.
1,4,"00:11:17,551","00:11:22,681",5.13,125,"You can only perform this once you have mastered Jipsu, Ryusu, Chisu, and ultimately, Hwansu."
1,4,"00:11:22,765","00:11:27,770",5.00,126,Hwansu is the godlike power of changing water to fire and vice versa. Is it not?
1,4,"00:11:27,853","00:11:30,063",2.21,127,Humans cannot reach that level.
1,4,"00:11:27,853","00:11:30,063",2.21,128,Right.
1,4,"00:11:30,147","00:11:32,727",2.58,129,"But Master Seo Gyeong, the founder of Songrim, did."
1,4,"00:11:32,817","00:11:34,567",1.75,130,There was also someone else.
1,4,"00:11:34,652","00:11:35,692",1.04,131,Who?
1,4,"00:11:35,778","00:11:37,698",1.92,132,As if you would know his name.
1,4,"00:11:39,156","00:11:44,579",5.42,133,Who dared to perform the alchemy of souls on this poor Songrim pupil?
1,4,"00:11:44,662","00:11:48,372",3.71,134,He was meant to work at Cheonbugwan and record the constellations.
1,4,"00:11:48,457","00:11:50,707",2.25,135,He had been frequenting the place for a few months.
1,4,"00:11:51,627","00:11:56,716",5.09,136,Right. They were the ones who caught Naksu's men whom we had failed to catch as if they had been waiting.
1,4,"00:11:56,799","00:12:01,431",4.63,137,I am certain that they have something to do with this soul shifter case.
1,4,"00:12:03,389","00:12:08,097",4.71,138,"Yul and Dang-gu, keep an eye on Cheonbugwan and see if there is anything strange."
1,4,"00:12:08,686","00:12:09,556",0.87,139,"Yes, my lord."
1,4,"00:12:08,686","00:12:09,556",0.87,140,"Yes, my lord."
1,4,"00:12:12,064","00:12:13,654",1.59,141,What is wrong with that?
1,4,"00:12:13,732","00:12:16,032",2.30,142,It has been malfunctioning ever since Uk broke it.
1,4,"00:12:17,069","00:12:19,159",2.09,143,Jang Uk…
1,4,"00:12:17,069","00:12:19,159",2.09,144,Do not move!
1,4,"00:12:19,864","00:12:21,074",1.21,145,It will crumble.
1,4,"00:12:24,493","00:12:25,833",1.34,146,Do not move.
1,4,"00:12:26,412","00:12:28,122",1.71,147,Wait until the door completely shuts.
1,4,"00:12:29,206","00:12:30,076",0.87,148,Jang Uk!
1,4,"00:12:30,624","00:12:33,504",2.88,149,I told you not to move!
1,4,"00:12:33,586","00:12:35,336",1.75,150,Help me!
1,4,"00:12:37,465","00:12:38,585",1.12,151,Stay still.
1,4,"00:12:39,967","00:12:41,007",1.04,152,Jang Uk…
1,4,"00:13:12,333","00:13:14,253",1.92,153,Stay down for a moment.
1,4,"00:13:32,853","00:13:34,063",1.21,154,Sapsali.
1,4,"00:13:35,064","00:13:36,234",1.17,155,Come out.
1,4,"00:13:36,941","00:13:38,651",1.71,156,Come with me.
1,4,"00:14:23,153","00:14:24,953",1.80,157,I am glad you are back.
1,4,"00:14:28,617","00:14:32,867",4.25,158,I will reward you with delicious treats if you find the soul shifters.
1,4,"00:14:32,955","00:14:34,455",1.50,159,I hope we get along.
1,4,"00:15:04,653","00:15:05,783",1.13,160,Mu-deok.
1,4,"00:15:07,656","00:15:16,920",9.26,161,"If I freeze to death, take the torrent of energy… within me if you can."
1,4,"00:15:18,208","00:15:21,088",2.88,162,"If I could, I would have killed you and done that already."
1,4,"00:15:24,006","00:15:25,666",1.66,163,I am freezing to death here.
1,4,"00:15:27,259","00:15:29,259",2.00,164,Do not say such coldhearted things.
1,4,"00:15:31,263","00:15:32,773",1.51,165,Say something heartwarming.
1,4,"00:15:33,349","00:15:35,429",2.08,166,Have you finally gone mad?
1,4,"00:15:35,517","00:15:36,807",1.29,167,What is with you?
1,4,"00:15:41,649","00:15:43,729",2.08,168,Jang Uk. Open your eyes.
1,4,"00:15:44,526","00:15:47,446",2.92,169,Fine. I will say something heartwarming.
1,4,"00:15:50,366","00:15:53,826",3.46,170,There was a huge tree where I used to live.
1,4,"00:15:55,746","00:15:58,616",2.87,171,And there was a bird's nest on top.
1,4,"00:15:59,291","00:16:01,041",1.75,172,The egg inside it was warm.
1,4,"00:16:02,544","00:16:03,924",1.38,173,Did you eat it?
1,4,"00:16:04,922","00:16:06,922",2.00,174,I said this would be heartwarming.
1,4,"00:16:12,304","00:16:14,974",2.67,175,The mother bird always came by and sat on the egg.
1,4,"00:16:19,436","00:16:23,856",4.42,176,I am the egg that is at the top of the tree.
1,4,"00:16:27,277","00:16:32,661",5.38,177,I know no one… and I am powerless.
